"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","36","AUS","Australia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","340869056.217",,"340869056.217","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","44","BHS","Bahamas","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","75469.889",,"75469.889","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","48","BHR","Bahrain","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","258349415.008",,"258349415.008","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","50","BGD","Bangladesh","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","19192490.498",,"19192490.498","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","51","ARM","Armenia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","139756.402",,"139756.402","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","52","BRB","Barbados","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","50456.825",,"50456.825","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","60","BMU","Bermuda","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5958584.058",,"5958584.058","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","73977434.983",,"73977434.983","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","70","BIH","Bosnia Herzegovina","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","101565139.809",,"101565139.809","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","72","BWA","Botswana","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","198716.595",,"198716.595","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","76","BRA","Brazil","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1407134963.967",,"1407134963.967","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","84","BLZ","Belize","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","71463.039",,"71463.039","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","92","VGB","Br. Virgin Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","107227.73",,"107227.73","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","96","BRN","Brunei Darussalam","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","37244004.912",,"37244004.912","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","104","MMR","Myanmar","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1042794.042",,"1042794.042","0","false","true",
