,Date,Maturity,Rate
2,1990-01-31,10 Yr,8.206666666666667
4,1990-01-31,2 Yr,8.085238095238095
6,1990-01-31,3 Mo,7.898095238095237
8,1990-01-31,30 Yr,8.258571428571429
15,1990-02-28,10 Yr,8.473157894736843
17,1990-02-28,2 Yr,8.370526315789473
19,1990-02-28,3 Mo,8.002105263157894
21,1990-02-28,30 Yr,8.503684210526316
28,1990-03-31,10 Yr,8.588636363636363
30,1990-03-31,2 Yr,8.626818181818182
32,1990-03-31,3 Mo,8.17
34,1990-03-31,30 Yr,8.56318181818182
41,1990-04-30,10 Yr,8.7855
43,1990-04-30,2 Yr,8.724
45,1990-04-30,3 Mo,8.0405
47,1990-04-30,30 Yr,8.756
54,1990-05-31,10 Yr,8.758181818181818
56,1990-05-31,2 Yr,8.642272727272728
58,1990-05-31,3 Mo,8.006818181818183
60,1990-05-31,30 Yr,8.731363636363637
67,1990-06-30,10 Yr,8.48
69,1990-06-30,2 Yr,8.350952380952382
71,1990-06-30,3 Mo,7.986666666666666
73,1990-06-30,30 Yr,8.457619047619048
80,1990-07-31,10 Yr,8.471428571428572
82,1990-07-31,2 Yr,8.157142857142858
84,1990-07-31,3 Mo,7.874761904761905
86,1990-07-31,30 Yr,8.498095238095239
93,1990-08-31,10 Yr,8.752608695652174
95,1990-08-31,2 Yr,8.061304347826086
97,1990-08-31,3 Mo,7.694347826086957
99,1990-08-31,30 Yr,8.863478260869565
106,1990-09-30,10 Yr,8.893157894736841
108,1990-09-30,2 Yr,8.079473684210527
110,1990-09-30,3 Mo,7.597894736842106
112,1990-09-30,30 Yr,9.028947368421052
119,1990-10-31,10 Yr,8.719545454545456
121,1990-10-31,2 Yr,7.877727272727273
123,1990-10-31,3 Mo,7.4
125,1990-10-31,30 Yr,8.857727272727272
132,1990-11-30,10 Yr,8.392
134,1990-11-30,2 Yr,7.599500000000001
136,1990-11-30,3 Mo,7.2905
138,1990-11-30,30 Yr,8.5405
145,1990-12-31,10 Yr,8.075
147,1990-12-31,2 Yr,7.314
149,1990-12-31,3 Mo,6.9495000000000005
