Year,GDP-US $ billion nominal, ,Population-US million,Social Insurance Taxes -  percent GDP,,Income Taxes -  percent GDP,,Ad valorem Taxes -  percent GDP,,Business and Other Revenue -  percent GDP,
1792,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.173,0,,0,,1.63,a,0.03,a
1793,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.3,0,,0,,1.85,a,0.04,a
1794,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.432,0,,0,,1.72,a,0.04,a
1795,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.567,0,,0,,1.68,a,0.04,a
1796,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.707,0,,0,,2.01,a,0.05,a
1797,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.85,0,,0,,2.12,a,0.05,a
1798,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.998,0,,0,,1.91,a,0.06,a
1799,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.151,0,,0,,1.71,a,0.06,a
1800,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.308,0,,0,,2.26,a,0.06,a
1801,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.476,0,,0,,2.52,a,0.06,a
1802,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.648,0,,0,,3.33,a,0.07,a
1803,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.826,0,,0,,2.31,a,0.07,a
1804,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.01,0,,0,,2.22,a,0.07,a
1805,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.199,0,,0,,2.42,a,0.08,a
1806,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.395,0,,0,,2.52,a,0.07,a
1807,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.596,0,,0,,2.78,a,0.08,a
