MinWage,Year
3.60,1999
3.70,2000
4.10,2001
4.20,2002
4.50,2003
4.85,2004
5.05,2005
5.35,2006
5.52,2007
5.73,2008
5.80,2009
5.93,2010
6.08,2011
6.19,2012
6.31,2013
6.50,2014
6.70,2015
7.20,2016
7.50,2017
7.83,2018
8.21,2019
8.72,2020
8.91,2021
9.50,2022
