after_tax_bin_start,after_tax_bin_end,before_tax_bin_start,before_tax_bin_end,count
0,"12,700",0," 12,700 ",1
"12,700","12,900"," 12,700 "," 13,000 ",1
"12,900","13,200"," 13,000 "," 13,300 ",1
"13,200","13,400"," 13,300 "," 13,600 ",1
"13,400","13,600"," 13,600 "," 13,800 ",1
"13,600","13,800"," 13,800 "," 14,100 ",1
"13,800","14,000"," 14,100 "," 14,400 ",1
"14,000","14,300"," 14,400 "," 14,600 ",1
"14,300","14,500"," 14,600 "," 14,800 ",1
"14,500","14,700"," 14,800 "," 15,100 ",1
"14,700","14,900"," 15,100 "," 15,300 ",1
"14,900","15,100"," 15,300 "," 15,600 ",1
"15,100","15,300"," 15,600 "," 15,800 ",1
"15,300","15,500"," 15,800 "," 16,100 ",1
"15,500","15,700"," 16,100 "," 16,300 ",1
"15,700","15,900"," 16,300 "," 16,600 ",1
"15,900","16,100"," 16,600 "," 16,800 ",1
"16,100","16,300"," 16,800 "," 17,100 ",1
"16,300","16,500"," 17,100 "," 17,400 ",1
"16,500","16,700"," 17,400 "," 17,600 ",1
"16,700","16,900"," 17,600 "," 17,900 ",1
"16,900","17,100"," 17,900 "," 18,100 ",1
"17,100","17,300"," 18,100 "," 18,300 ",1
"17,300","17,500"," 18,300 "," 18,600 ",1
"17,500","17,700"," 18,600 "," 18,800 ",1
"17,700","17,900"," 18,800 "," 19,100 ",1
"17,900","18,100"," 19,100 "," 19,400 ",1
"18,100","18,300"," 19,400 "," 19,600 ",1
"18,300","18,500"," 19,600 "," 19,900 ",1
"18,500","18,700"," 19,900 "," 20,100 ",1
"18,700","19,000"," 20,100 "," 20,400 ",1
"19,000","19,200"," 20,400 "," 20,600 ",1
"19,200","19,400"," 20,600 "," 20,900 ",1
"19,400","19,600"," 20,900 "," 21,200 ",1
"19,600","19,800"," 21,200 "," 21,500 ",1
"19,800","20,100"," 21,500 "," 21,800 ",1
"20,100","20,300"," 21,800 "," 22,000 ",1
"20,300","20,600"," 22,000 "," 22,400 ",1
"20,600","20,800"," 22,400 "," 22,600 ",1
"20,800","21,100"," 22,600 "," 23,000 ",1
"21,100","21,300"," 23,000 "," 23,300 ",1
"21,300","21,600"," 23,300 "," 23,600 ",1
"21,600","21,800"," 23,600 "," 23,900 ",1
"21,800","22,100"," 23,900 "," 24,200 ",1
"22,100","22,400"," 24,200 "," 24,600 ",1
"22,400","22,600"," 24,600 "," 24,900 ",1
"22,600","22,900"," 24,900 "," 25,200 ",1
"22,900","23,200"," 25,200 "," 25,600 ",1
"23,200","23,500"," 25,600 "," 26,000 ",1
"23,500","23,800"," 26,000 "," 26,300 ",1
"23,800","24,100"," 26,300 "," 26,700 ",1
"24,100","24,400"," 26,700 "," 27,100 ",1
"24,400","24,700"," 27,100 "," 27,500 ",1
"24,700","25,100"," 27,500 "," 27,900 ",1
"25,100","25,400"," 27,900 "," 28,300 ",1
"25,400","25,800"," 28,300 "," 28,700 ",1
"25,800","26,100"," 28,700 "," 29,200 ",1
"26,100","26,500"," 29,200 "," 29,600 ",1
"26,500","26,800"," 29,600 "," 30,000 ",1
"26,800","27,200"," 30,000 "," 30,500 ",1
"27,200","27,600"," 30,500 "," 31,000 ",1
"27,600","28,000"," 31,000 "," 31,500 ",1
"28,000","28,400"," 31,500 "," 32,000 ",1
"28,400","28,800"," 32,000 "," 32,500 ",1
"28,800","29,300"," 32,500 "," 33,100 ",1
"29,300","29,700"," 33,100 "," 33,600 ",1
"29,700","30,200"," 33,600 "," 34,200 ",1
"30,200","30,700"," 34,200 "," 34,800 ",1
"30,700","31,300"," 34,800 "," 35,500 ",1
"31,300","31,800"," 35,500 "," 36,100 ",1
"31,800","32,300"," 36,100 "," 36,800 ",1
"32,300","32,900"," 36,800 "," 37,500 ",1
"32,900","33,500"," 37,500 "," 38,200 ",1
"33,500","34,100"," 38,200 "," 39,000 ",1
"34,100","34,800"," 39,000 "," 39,800 ",1
"34,800","35,500"," 39,800 "," 40,600 ",1
"35,500","36,200"," 40,600 "," 41,400 ",1
"36,200","36,900"," 41,400 "," 42,300 ",1
"36,900","37,700"," 42,300 "," 43,300 ",1
"37,700","38,500"," 43,300 "," 44,300 ",1
"38,500","39,400"," 44,300 "," 45,300 ",1
"39,400","40,300"," 45,300 "," 46,400 ",1
"40,300","41,200"," 46,400 "," 47,600 ",1
"41,200","42,300"," 47,600 "," 48,900 ",1
"42,300","43,300"," 48,900 "," 50,000 ",1
"43,300","44,400"," 50,000 "," 51,100 ",1
"44,400","45,500"," 51,100 "," 52,700 ",1
"45,500","46,600"," 52,700 "," 54,600 ",1
"46,600","47,700"," 54,600 "," 56,700 ",1
"47,700","49,200"," 56,700 "," 59,200 ",1
"49,200","51,000"," 59,200 "," 62,100 ",1
"51,000","53,200"," 62,100 "," 65,500 ",1
"53,200","55,900"," 65,500 "," 69,900 ",1
"55,900","59,200"," 69,900 "," 75,200 ",1
"59,200","63,600"," 75,200 "," 82,200 ",1
"63,600","69,600"," 82,200 "," 91,800 ",1
"69,600","77,000"," 91,800 "," 104,000 ",1
"77,000","88,900"," 104,000 "," 128,000 ",1
"88,900","121,000"," 128,000 "," 183,000 ",1
