Year,Selector1,Union_Membership,Selector2
1995,Overall,32.4,Overall
1996,Overall,31.4,Overall
1997,Overall,30.7,Overall
1998,Overall,29.9,Overall
1999,Overall,29.7,Overall
2000,Overall,29.8,Overall
2001,Overall,29.3,Overall
2002,Overall,28.8,Overall
2003,Overall,29.3,Overall
2004,Overall,28.8,Overall
2005,Overall,28.6,Overall
2006,Overall,28.3,Overall
2007,Overall,28.0,Overall
2008,Overall,27.5,Overall
2009,Overall,27.4,Overall
2010,Overall,26.6,Overall
2011,Overall,26.0,Overall
2012,Overall,26.1,Overall
2013,Overall,25.6,Overall
2014,Overall,25.0,Overall
2015,Overall,24.7,Overall
2016,Overall,23.5,Overall
2017,Overall,23.3,Overall
2018,Overall,23.4,Overall
2019,Overall,23.5,Overall
2020,Overall,23.7,Overall
2021,Overall,23.1,Overall
1995,Male,35.0,Gender
1996,Male,33.3,Gender
1997,Male,32.1,Gender
1998,Male,31.2,Gender
1999,Male,30.9,Gender
2000,Male,30.4,Gender
2001,Male,29.9,Gender
2002,Male,28.7,Gender
2003,Male,29.1,Gender
2004,Male,28.5,Gender
2005,Male,27.7,Gender
2006,Male,27.1,Gender
2007,Male,26.5,Gender
2008,Male,25.7,Gender
2009,Male,25.3,Gender
2010,Male,23.9,Gender
2011,Male,23.4,Gender
2012,Male,23.5,Gender
2013,Male,23.0,Gender
2014,Male,22.3,Gender
2015,Male,21.8,Gender
2016,Male,21.2,Gender
2017,Male,21.0,Gender
2018,Male,20.7,Gender
2019,Male,20.1,Gender
2020,Male,20.3,Gender
2021,Male,20.0,Gender
1995,Female,29.7,Gender
1996,Female,29.5,Gender
1997,Female,29.3,Gender
1998,Female,28.6,Gender
1999,Female,28.4,Gender
2000,Female,29.1,Gender
2001,Female,28.6,Gender
2002,Female,29.0,Gender
2003,Female,29.6,Gender
2004,Female,29.2,Gender
2005,Female,29.6,Gender
2006,Female,29.6,Gender
2007,Female,29.6,Gender
2008,Female,29.3,Gender
2009,Female,29.6,Gender
2010,Female,29.4,Gender
2011,Female,28.6,Gender
2012,Female,28.7,Gender
2013,Female,28.3,Gender
2014,Female,27.7,Gender
2015,Female,27.7,Gender
2016,Female,26.0,Gender
2017,Female,25.6,Gender
2018,Female,26.2,Gender
2019,Female,27.0,Gender
2020,Female,27.2,Gender
2021,Female,26.3,Gender
