Experiment,State,County,In Experiment
New Jersey (1968-1972),nj,Mercer,1
New Jersey (1968-1972),nj,Passaic,1
New Jersey (1968-1972),nj,Hudson,1
New Jersey (1968-1972),pa,Lackawanna,1
Rural,nc,Duplin,1
Rural,ia,Calhoun,1
Rural,ia,Pocahontas,1
Gary,in,Gary,1
Seattle-Denver,wa,King,1
Seattle-Denver,co,Denver,1
