Year,Nominal_Balance,Nominal_Goods_Balance,Nominal_Goods_Exports,Nominal_Goods_Imports,Nominal_Services_Balance,Nominal_Services_Exports,Nominal_Services_Imports,Balance_GDP,Goods_Balance_GDP,Goods_Exports_GDP,Goods_Imports_GDP,Services_Balance_GDP,Services_Exports_GDP,Services_Imports_GDP,GDP
1960,3508000000,4892000000,19650000000,14758000000,-1385000000,6289000000,7675000000,0.006565293,0.009155477,0.036775371,0.027619894,-0.002592055,0.01176999,0.014363917,5.34325E+11
1961,4194000000,5571000000,20108000000,14537000000,-1377000000,6295000000,7671000000,0.007673238,0.010192563,0.036789096,0.026596533,-0.002519325,0.011517175,0.01403467,5.46575E+11
1962,3371000000,4521000000,20781000000,16260000000,-1151000000,6941000000,8092000000,0.005755752,0.007719298,0.035482136,0.027762838,-0.001965254,0.011851283,0.013816536,5.85675E+11
1963,4210000000,5224000000,22272000000,17048000000,-1014000000,7348000000,8363000000,0.006810094,0.00845034,0.036027176,0.027576836,-0.001640246,0.011886121,0.013527984,6.182E+11
1964,6022000000,6801000000,25501000000,18700000000,-780000000,7839000000,8619000000,0.009100801,0.010278072,0.038538613,0.028260541,-0.001178782,0.011846758,0.01302554,6.617E+11
1965,4664000000,4951000000,26461000000,21510000000,-287000000,8824000000,9111000000,0.006575265,0.006979875,0.03730448,0.030324604,-0.00040461,0.012439996,0.012844606,7.09325E+11
1966,2939000000,3817000000,29310000000,25493000000,-878000000,9616000000,10494000000,0.003765656,0.004890611,0.037554054,0.032663442,-0.001124956,0.012320702,0.013445658,7.80475E+11
1967,2604000000,3800000000,30666000000,26866000000,-1196000000,10667000000,11863000000,0.003112878,0.004542602,0.036658797,0.032116195,-0.001429724,0.012751562,0.014181286,8.36525E+11
1968,250000000,635000000,33626000000,32991000000,-385000000,11918000000,12301000000,0.000278528,0.000707462,0.037463165,0.036755703,-0.000428934,0.013277999,0.013704704,8.97575E+11
1969,90000000,607000000,36414000000,35807000000,-517000000,12806000000,13323000000,9.1811E-05,0.000619214,0.037146719,0.036527505,-0.000527403,0.013063681,0.013591084,9.80275E+11
1970,2255000000,2603000000,42469000000,39866000000,-348000000,14171000000,14519000000,0.002154441,0.002486923,0.040575155,0.038088232,-0.000332481,0.013539064,0.013871546,1.04668E+12
1971,-1301000000,-2260000000,43319000000,45579000000,959000000,16358000000,15401000000,-0.001165196,-0.002024092,0.038797188,0.04082128,0.000858896,0.014650486,0.013793381,1.11655E+12
1972,-5443000000,-6416000000,49381000000,55797000000,973000000,17842000000,16867000000,-0.004475231,-0.005275231,0.040601028,0.045876259,0.0008,0.014669681,0.013868037,1.21625E+12
1973,1900000000,911000000,71410000000,70499000000,989000000,19832000000,18843000000,0.001404572,0.000673455,0.052789739,0.052116284,0.000731117,0.014660777,0.013929661,1.35273E+12
