RTA ID,RTA Name,Country,Entry Date,Exit Date
120,EU Treaty,Austria,1995-01-01,
120,EU Treaty,Bulgaria,2007-01-01,
120,EU Treaty,Croatia,2013-07-01,
120,EU Treaty,Cyprus,2004-05-01,
120,EU Treaty,Czech Republic,2004-05-01,
120,EU Treaty,Denmark,1973-01-01,
120,EU Treaty,Estonia,2004-05-01,
120,EU Treaty,Finland,1995-01-01,
120,EU Treaty,Greece,1981-01-01,
120,EU Treaty,Hungary,2004-05-01,
120,EU Treaty,Ireland,1973-01-01,
120,EU Treaty,Latvia,2004-05-01,
120,EU Treaty,Lithuania,2004-05-01,
120,EU Treaty,Malta,2004-05-01,
120,EU Treaty,Poland,2004-05-01,
120,EU Treaty,Portugal,1986-01-01,
120,EU Treaty,Romania,2007-01-01,
120,EU Treaty,Slovak Republic,2004-05-01,
120,EU Treaty,Slovenia,2004-05-01,
120,EU Treaty,Spain,1986-01-01,
120,EU Treaty,Sweden,1995-01-01,
120,EU Treaty,United Kingdom,1973-01-01,2020-12-31
120,EU Treaty,Belgium,1958-01-01,
120,EU Treaty,France,1958-01-01,
120,EU Treaty,Germany,1958-01-01,
120,EU Treaty,Italy,1958-01-01,
120,EU Treaty,Luxembourg,1958-01-01,
120,EU Treaty,Netherlands,1958-01-01,
134,Australia - New Zealand Closer Economic Relations Trade Agreement (ANZCERTA),Australia,1989-01-01,
134,Australia - New Zealand Closer Economic Relations Trade Agreement (ANZCERTA),New Zealand,1989-01-01,
122,North American Free Trade Agreement (NAFTA),Canada,1994-01-01,
122,North American Free Trade Agreement (NAFTA),Mexico,1994-01-01,
122,North American Free Trade Agreement (NAFTA),United States of America,1994-01-01,
114,European Economic Area (EEA),United Kingdom,1994-01-01,2020-12-31
114,European Economic Area (EEA),Belgium,1994-01-01,
114,European Economic Area (EEA),Denmark,1994-01-01,
114,European Economic Area (EEA),France,1994-01-01,
114,European Economic Area (EEA),Germany,1994-01-01,
114,European Economic Area (EEA),Greece,1994-01-01,
114,European Economic Area (EEA),Iceland,1994-01-01,
114,European Economic Area (EEA),Ireland,1994-01-01,
114,European Economic Area (EEA),Italy,1994-01-01,
114,European Economic Area (EEA),Liechtenstein,1994-01-01,
114,European Economic Area (EEA),Luxembourg,1994-01-01,
114,European Economic Area (EEA),Netherlands,1994-01-01,
114,European Economic Area (EEA),Norway,1994-01-01,
114,European Economic Area (EEA),Portugal,1994-01-01,
114,European Economic Area (EEA),Spain,1994-01-01,
248,EC - Hungary Europe Agreement,Belgium,1994-02-01,
248,EC - Hungary Europe Agreement,Denmark,1994-02-01,
248,EC - Hungary Europe Agreement,France,1994-02-01,
248,EC - Hungary Europe Agreement,Germany,1994-02-01,
248,EC - Hungary Europe Agreement,Greece,1994-02-01,
248,EC - Hungary Europe Agreement,Hungary,1994-02-01,
248,EC - Hungary Europe Agreement,Ireland,1994-02-01,
248,EC - Hungary Europe Agreement,Italy,1994-02-01,
248,EC - Hungary Europe Agreement,Luxembourg,1994-02-01,
248,EC - Hungary Europe Agreement,Netherlands,1994-02-01,
248,EC - Hungary Europe Agreement,Portugal,1994-02-01,
248,EC - Hungary Europe Agreement,Spain,1994-02-01,
248,EC - Hungary Europe Agreement,United Kingdom,1994-02-01,
264,EC - Poland Europe Agreement ,Austria,1994-02-01,
264,EC - Poland Europe Agreement ,Belgium,1994-02-01,
264,EC - Poland Europe Agreement ,Denmark,1994-02-01,
264,EC - Poland Europe Agreement ,Finland,1994-02-01,
264,EC - Poland Europe Agreement ,France,1994-02-01,
264,EC - Poland Europe Agreement ,Germany,1994-02-01,
264,EC - Poland Europe Agreement ,Greece,1994-02-01,
264,EC - Poland Europe Agreement ,Ireland,1994-02-01,
264,EC - Poland Europe Agreement ,Italy,1994-02-01,
264,EC - Poland Europe Agreement ,Luxembourg,1994-02-01,
264,EC - Poland Europe Agreement ,Netherlands,1994-02-01,
264,EC - Poland Europe Agreement ,Poland,1994-02-01,
264,EC - Poland Europe Agreement ,Portugal,1994-02-01,
264,EC - Poland Europe Agreement ,Spain,1994-02-01,
264,EC - Poland Europe Agreement ,Sweden,1994-02-01,
264,EC - Poland Europe Agreement ,United Kingdom,1994-02-01,
123,EC (15) Enlargement,United Kingdom,1995-01-01,2020-12-31
123,EC (15) Enlargement,Austria,1995-01-01,
123,EC (15) Enlargement,Belgium,1995-01-01,
123,EC (15) Enlargement,Denmark,1995-01-01,
123,EC (15) Enlargement,Finland,1995-01-01,
123,EC (15) Enlargement,France,1995-01-01,
123,EC (15) Enlargement,Germany,1995-01-01,
123,EC (15) Enlargement,Greece,1995-01-01,
123,EC (15) Enlargement,Ireland,1995-01-01,
123,EC (15) Enlargement,Italy,1995-01-01,
123,EC (15) Enlargement,Luxembourg,1995-01-01,
123,EC (15) Enlargement,Netherlands,1995-01-01,
123,EC (15) Enlargement,Portugal,1995-01-01,
123,EC (15) Enlargement,Spain,1995-01-01,
