RTA ID,RTA Name,Country,Entry Date,Exit Date,Country_ISO3,Broader Agreement,Broader,Is Core Agreement
298,Equatorial Customs Union - Cameroon Association,Cameroon,1962-07-01,,CMR,,,FALSE
298,Equatorial Customs Union - Cameroon Association,Central African Republic,1962-07-01,,CAF,,,FALSE
298,Equatorial Customs Union - Cameroon Association,Chad,1962-07-01,,TCD,,,FALSE
298,Equatorial Customs Union - Cameroon Association,Congo,1962-07-01,,COG,,,FALSE
298,Equatorial Customs Union - Cameroon Association,Gabon,1962-07-01,,GAB,,,FALSE
247,EEC - Greece Association Agreement,Belgium,1962-11-01,,BEL,EEC,EU,FALSE
247,EEC - Greece Association Agreement,France,1962-11-01,,FRA,EEC,EU,FALSE
247,EEC - Greece Association Agreement,Germany,1962-11-01,,DEU,EEC,EU,FALSE
247,EEC - Greece Association Agreement,Greece,1962-11-01,,GRC,EEC,EU,FALSE
247,EEC - Greece Association Agreement,Italy,1962-11-01,,ITA,EEC,EU,FALSE
247,EEC - Greece Association Agreement,Luxembourg,1962-11-01,,LUX,EEC,EU,FALSE
247,EEC - Greece Association Agreement,Netherlands,1962-11-01,,NLD,EEC,EU,FALSE
190,African Common Market,Algeria,1963-07-01,,DZA,African Common Market,African Common Market,TRUE
190,African Common Market,Ghana,1963-07-01,,GHA,African Common Market,African Common Market,TRUE
190,African Common Market,Guinea,1963-07-01,,GIN,African Common Market,African Common Market,TRUE
190,African Common Market,Mali,1963-07-01,,MLI,African Common Market,African Common Market,TRUE
190,African Common Market,Morocco,1963-07-01,,MAR,African Common Market,African Common Market,TRUE
366,Yaoundé I,Belgium,1964-01-01,,BEL,,,FALSE
366,Yaoundé I,Burundi,1964-01-01,,BDI,,,FALSE
366,Yaoundé I,Cameroon,1964-01-01,,CMR,,,FALSE
366,Yaoundé I,Central African Republic,1964-01-01,,CAF,,,FALSE
366,Yaoundé I,Chad,1964-01-01,,TCD,,,FALSE
366,Yaoundé I,Congo,1964-01-01,,COG,,,FALSE
366,Yaoundé I,Benin,1964-01-01,,BEN,,,FALSE
366,Yaoundé I,France,1964-01-01,,FRA,,,FALSE
366,Yaoundé I,Gabon,1964-01-01,,GAB,,,FALSE
366,Yaoundé I,Germany,1964-01-01,,DEU,,,FALSE
366,Yaoundé I,Italy,1964-01-01,,ITA,,,FALSE
366,Yaoundé I,Côte d'Ivoire,1964-01-01,,CIV,,,FALSE
366,Yaoundé I,Luxembourg,1964-01-01,,LUX,,,FALSE
366,Yaoundé I,Madagascar,1964-01-01,,MDG,,,FALSE
366,Yaoundé I,Mali,1964-01-01,,MLI,,,FALSE
366,Yaoundé I,Mauritania,1964-01-01,,MRT,,,FALSE
366,Yaoundé I,Netherlands,1964-01-01,,NLD,,,FALSE
366,Yaoundé I,Niger,1964-01-01,,NER,,,FALSE
366,Yaoundé I,Rwanda,1964-01-01,,RWA,,,FALSE
366,Yaoundé I,Senegal,1964-01-01,,SEN,,,FALSE
366,Yaoundé I,Somalia,1964-01-01,,SOM,,,FALSE
366,Yaoundé I,Togo,1964-01-01,,TGO,,,FALSE
366,Yaoundé I,Burkina Faso,1964-01-01,,BFA,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Belgium,1964-06-01,,BEL,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Comoros,1964-06-01,,COM,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Mayotte,1964-06-01,,MYT,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,France,1964-06-01,,FRA,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,French Polynesia,1964-06-01,,PYF,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Germany,1964-06-01,,DEU,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Italy,1964-06-01,,ITA,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Luxembourg,1964-06-01,,LUX,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Netherlands,1964-06-01,,NLD,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Netherlands Antilles,1964-06-01,,not found,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,New Caledonia,1964-06-01,,NCL,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Saint Pierre and Miquelon,1964-06-01,,SPM,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Suriname,1964-06-01,,SUR,,,FALSE
263,EC – Overseas Countries and Territories 1 (OCT) ,Wallis and Futuna Islands,1964-06-01,,WLF,,,FALSE
282,EEC - Türkiye Association Agreement of 1963,Belgium,1964-12-01,,BEL,EEC,EEC,TRUE
